t,mem_fmt,mem_addr,gpr_fmt,gpr_addr,optype
613,00,00000000000000000000,00,00000000,00
614,00,00000000000000000000,00,00000000,00
615,00,00000000000001101100,00,01110110,11
616,00,00000000000001101110,00,01111000,11
617,00,00000000000000000000,00,00000000,00
618,00,00000000000000000000,00,00000000,00
619,00,00000000000001101101,00,01110111,11
620,00,00000000000000000000,00,00000000,00
621,00,00000000000000000000,00,00000000,00
622,00,00000000000000000000,00,00000000,00
623,00,00000000000000000000,00,00000000,00
624,00,00000000000000000000,00,00000000,00
625,00,00000000000000000000,00,00000000,00
626,00,00000000000000000000,00,00000000,00
627,00,00000000000001110000,00,10001001,11
628,00,00000000000001101111,00,10001000,11
629,00,00000000000001110001,00,10001010,11
630,00,00000000000000000000,00,00000000,00
631,00,00000000000000000000,00,00000000,00
632,00,00000000000000000000,00,00000000,00
633,00,00000000000000000000,00,00000000,00
634,00,00000000000000000000,00,00000000,00
635,00,00000000000000000000,00,00000000,00
636,00,00000000000000000000,00,00000000,00
637,00,00000000000000000000,00,00000000,00
638,00,00000000000000000000,00,00000000,00
639,00,00000000000000000000,00,00000000,00
640,00,00000000000000000000,00,00000000,00
641,00,00000000000000000000,00,00000000,00
642,00,00000000000000000000,00,00000000,00
643,00,00000000000000000000,00,00000000,00
644,00,00000000000000000000,00,00000000,00
645,00,00000000000000000000,00,00000000,00
646,00,00000000000000000000,00,00000000,00
647,00,00000000000000000000,00,00000000,00
648,00,00000000000001110011,00,10011011,11
649,00,00000000000000000000,00,00000000,00
650,00,00000000000000000000,00,00000000,00
651,00,00000000000001110100,00,10011100,11
652,00,00000000000001110010,00,10011010,11
653,00,00000000000000000000,00,00000000,00
654,00,00000000000000000000,00,00000000,00
655,00,00000000000000000000,00,00000000,00
656,00,00000000000000000000,00,00000000,00
657,00,00000000000000000000,00,00000000,00
658,00,00000000000000000000,00,00000000,00
659,00,00000000000000000000,00,00000000,00
660,00,00000000000000000000,00,00000000,00
661,00,00000000000001110110,00,10101101,11
662,00,00000000000001110101,00,10101100,11
663,00,00000000000000000000,00,00000000,00
664,00,00000000000000000000,00,00000000,00
665,00,00000000000000000000,00,00000000,00
666,00,00000000000000000000,00,00000000,00
667,00,00000000000000000000,00,00000000,00
668,00,00000000000001110111,00,10101110,11
669,00,00000000000000000000,00,00000000,00
670,00,00000000000000000000,00,00000000,00
671,00,00000000000000000000,00,00000000,00
672,00,00000000000000000000,00,00000000,00
673,00,00000000000000000000,00,00000000,00
674,00,00000000000000000000,00,00000000,00
675,00,00000000000000000000,00,00000000,00
676,00,00000000000001111000,00,10111110,11
677,00,00000000000001111001,00,10111111,11
678,00,00000000000000000000,00,00000000,00
679,00,00000000000001111010,00,11000000,11
680,00,00000000000000000000,00,00000000,00
681,00,00000000000000000000,00,00000000,00
682,00,00000000000000000000,00,00000000,00
683,00,00000000000000000000,00,00000000,00
684,00,00000000000000000000,00,00000000,00
685,00,00000000000000000000,00,00000000,00
686,00,00000000000000000000,00,00000000,00
687,00,00000000000000000000,00,00000000,00
688,00,00000000000000000000,00,00000000,00
689,00,00000000000000000000,00,00000000,00
690,00,00000000000000000000,00,00000000,00
