t,imm,connect,dst,src1,src0,mask,optype
470,0,0,00011011,00011000,00010111,0,0010
471,0,0,00000000,00000000,00000000,0,0000
472,0,0,00000000,00000000,00000000,0,0000
473,0,0,00000000,00000000,00000000,0,0000
474,0,0,11100101,11100011,11100010,0,0100
475,0,0,00000000,00000000,00000000,0,0000
476,0,0,00000000,00000000,00000000,0,0000
477,0,0,00000000,00000000,00000000,0,0000
478,0,0,00011100,00011010,00011001,0,0010
479,0,0,00000000,00000000,00000000,0,0000
480,0,0,00000000,00000000,00000000,0,0000
481,0,0,11100110,11100101,11100100,0,0100
482,0,0,11111111,11111110,11110110,0,0010
483,0,0,00000000,00000000,00000000,0,0000
484,0,0,00000000,00000000,00000000,0,0000
485,0,0,00011101,00011100,00011011,0,0010
486,0,0,00101011,00101000,00100111,0,0010
487,0,0,00000000,00000000,00000000,0,0000
488,0,0,00000000,00000000,00000000,0,0000
489,0,0,00000000,00000000,00000000,0,0000
490,0,0,00000000,00000000,00000000,0,0000
491,0,0,00000000,00000000,00000000,0,0000
492,0,0,00000000,00000000,00000000,0,0000
493,0,0,00000000,00000000,00000000,0,0000
494,0,0,00000000,00000000,00000000,0,0000
495,0,0,00000000,00000000,00000000,0,0000
496,0,0,00000000,00000000,00000000,0,0000
497,0,0,00000000,00000000,00000000,0,0000
498,0,0,00001111,00001110,00000110,0,0010
499,0,0,00000000,00000000,00000000,0,0000
500,0,0,00000000,00000000,00000000,0,0000
501,0,0,11110100,11110001,11110000,0,0100
502,0,0,00000000,00000000,00000000,0,0000
503,0,0,11110101,11110011,11110010,0,0100
504,0,0,00000000,00000000,00000000,0,0000
505,0,0,00000000,00000000,00000000,0,0000
506,0,0,00000000,00000000,00000000,0,0000
507,0,0,00000000,00000000,00000000,0,0000
508,0,0,00000000,00000000,00000000,0,0000
509,0,0,00000000,00000000,00000000,0,0000
510,0,0,11110110,11110101,11110100,0,0100
511,0,0,00000000,00000000,00000000,0,0000
512,0,0,00000000,00000000,00000000,0,0000
513,0,0,00000000,00000000,00000000,0,0000
514,0,0,00000000,00000000,00000000,0,0000
515,0,0,00011111,00011110,00010110,0,0010
516,0,0,00000000,00000000,00000000,0,0000
517,0,0,00000000,00000000,00000000,0,0000
518,0,0,00101100,00101010,00101001,0,0010
519,0,0,00000000,00000000,00000000,0,0000
520,0,0,00000000,00000000,00000000,0,0000
521,0,0,00000000,00000000,00000000,0,0000
522,0,0,00000000,00000000,00000000,0,0000
523,0,0,00000000,00000000,00000000,0,0000
524,0,0,00000000,00000000,00000000,0,0000
525,0,0,00101101,00101100,00101011,0,0010
526,0,0,00111011,00111000,00110111,0,0010
527,0,0,00000000,00000000,00000000,0,0000
528,0,0,00000000,00000000,00000000,0,0000
529,0,0,00000000,00000000,00000000,0,0000
530,0,0,00000000,00000000,00000000,0,0000
531,0,0,00000000,00000000,00000000,0,0000
532,0,0,00000000,00000000,00000000,0,0000
533,0,0,00000000,00000000,00000000,0,0000
534,0,0,00111100,00111010,00111001,0,0010
535,0,0,00000000,00000000,00000000,0,0000
536,0,0,00000000,00000000,00000000,0,0000
537,0,0,00000000,00000000,00000000,0,0000
538,0,0,00000000,00000000,00000000,0,0000
539,0,0,00000000,00000000,00000000,0,0000
540,0,0,00000000,00000000,00000000,0,0000
541,0,0,00111101,00111100,00111011,0,0010
542,0,0,01001011,01001000,01000111,0,0010
543,0,0,00000000,00000000,00000000,0,0000
544,0,0,00000000,00000000,00000000,0,0000
545,0,0,00000000,00000000,00000000,0,0000
546,0,0,00000000,00000000,00000000,0,0000
547,0,0,00000000,00000000,00000000,0,0000
548,0,0,00000000,00000000,00000000,0,0000
549,0,0,00000000,00000000,00000000,0,0000
550,0,0,01001100,01001010,01001001,0,0010
551,0,0,00000000,00000000,00000000,0,0000
552,0,0,00000000,00000000,00000000,0,0000
553,0,0,00000000,00000000,00000000,0,0000
554,0,0,00101111,00101110,00100110,0,0010
555,0,0,00000000,00000000,00000000,0,0000
556,0,0,00000000,00000000,00000000,0,0000
557,0,0,01001101,01001100,01001011,0,0010
558,0,0,01011011,01011000,01010111,0,0010
559,0,0,00000000,00000000,00000000,0,0000
560,0,0,00000000,00000000,00000000,0,0000
561,0,0,00000000,00000000,00000000,0,0000
562,0,0,00000000,00000000,00000000,0,0000
563,0,0,00000000,00000000,00000000,0,0000
564,0,0,00000000,00000000,00000000,0,0000
565,0,0,00000000,00000000,00000000,0,0000
566,0,0,00000000,00000000,00000000,0,0000
567,0,0,00000000,00000000,00000000,0,0000
568,0,0,00000000,00000000,00000000,0,0000
569,0,0,00000000,00000000,00000000,0,0000
570,0,0,00111111,00111110,00110110,0,0010
571,0,0,00000000,00000000,00000000,0,0000
572,0,0,00000000,00000000,00000000,0,0000
573,0,0,00000000,00000000,00000000,0,0000
574,0,0,00000000,00000000,00000000,0,0000
575,0,0,00000000,00000000,00000000,0,0000
576,0,0,00000000,00000000,00000000,0,0000
577,0,0,00000000,00000000,00000000,0,0000
578,0,0,00000000,00000000,00000000,0,0000
579,0,0,00000000,00000000,00000000,0,0000
580,0,0,00000000,00000000,00000000,0,0000
