cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
356,0x00000000000,0x00000000000,0x024c00a8d,0x0120e0cb,0x00000000,0,0,000000000000000000000093002a340907065800000000
357,0x00000000000,0x00000000000,0x01ac01aa1,0x00000000,0x00000000,0,0,00000000000000000000006b006a840000000000000000
358,0x00000000000,0x00000000000,0x01b205b01,0x5dc0bdb1,0x00000000,0,0,00000000000000000000006c816c06ee05ed8800000000
359,0x00000000000,0x00000000000,0x01b809b61,0x00000000,0x00000000,0,0,00000000000000000000006e026d840000000000000000
360,0x00000000000,0x00000000000,0x04aa4aa23,0x5f60df4f,0x00000000,0,0,00000000000000000000012a92a88efb06fa7800000000
361,0x00000000000,0x00000000000,0x05cf9fc21,0x00000000,0x00000000,0,0,000000000000000000000173e7f0840000000000000000
362,0x00000000000,0x00000000000,0x05d59fc61,0x00000000,0x00000000,0,0,00000000000000000000017567f1840000000000000000
363,0x00000000000,0x00000000000,0x05db9fca1,0x0141012b,0x00000000,0,0,000000000000000000000176e7f2840a08095800000000
364,0x00000000000,0x00000000000,0x01ae03ac2,0x00000000,0x00000000,0,0,00000000000000000000006b80eb080000000000000000
365,0x00000000000,0x00000000000,0x01b407b22,0x00000000,0x1dfdc003,0,0,00000000000000000000006d01ec8800000001dfdc0030
366,0x00000000000,0x00000000000,0x01ba0bb82,0x0322e2cb,0x00000000,0,0,00000000000000000000006e82ee081917165800000000
367,0x00000000000,0x00000000000,0x02ac00aae,0x5f809f62,0x00000000,0,0,0000000000000000000000ab002abafc04fb1000000000
368,0x00000000000,0x00000000000,0x01d001ce1,0x00000000,0x00000000,0,0,0000000000000000000000740073840000000000000000
369,0x00000000000,0x00000000000,0x01d605d41,0x00000000,0x00000000,0,0,0000000000000000000000758175040000000000000000
370,0x00000000000,0x00000000000,0x000000000,0x4160c14f,0x00000000,0,0,0000000000000000000000000000020b060a7800000000
371,0x00000000000,0x0000002135f,0x01dc09da1,0x00000000,0x00000000,0,0,00000000000000002135f0770276840000000000000000
372,0x00000000000,0x0000002236b,0x04ce6ac63,0x00000000,0x00000000,0,0,00000000000000002236b1339ab18c0000000000000000
373,0x0000004e2f3,0x00000023377,0x05f3bfe61,0x0343032b,0x00000000,0,0,00000138bcc000002337717ceff9841a18195800000000
374,0x0000004f2f7,0x00000000000,0x05f9bfea1,0x00000000,0x1fbf8002,0,0,0000013cbdc000000000017e6ffa8400000001fbf80020
375,0x00000000000,0x00000000000,0x01d203d02,0x00000000,0x00000000,0,0,00000000000000000000007480f4080000000000000000
376,0x000000502fb,0x00000000000,0x05ffbfee1,0x00000000,0x00000000,0,0,00000140bec000000000017feffb840000000000000000
