Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.784	1.784	0 ms
Numeric time: 0.963	0.963	0 ms
Symbolic time: 1.72	1.72	0 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.735	1.735	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.722	1.722	0 ms
Numeric time: 0.948	0.948	0 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.722	1.722	0 ms
Numeric time: 0.95	0.95	0 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.942	0.942	0 ms
Symbolic time: 1.721	1.722	0 ms
Numeric time: 0.942	0.942	0 ms
Symbolic time: 1.721	1.721	0 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.733	1.733	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.735	1.735	0 ms
Numeric time: 0.947	0.948	0 ms
Symbolic time: 1.783	1.782	0 ms
Numeric time: 0.948	0.948	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.947	0.949	0 ms
Symbolic time: 1.724	1.723	0 ms
Numeric time: 0.954	0.954	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.951	0.952	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.956	0.957	0 ms
Symbolic time: 1.738	1.738	0 ms
Numeric time: 0.969	0.969	0 ms
Symbolic time: 1.737	1.737	0 ms
Numeric time: 0.947	0.947	0 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.952	0.953	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.947	0	0.948 ms
Symbolic time: 1.721	1.684	0.037 ms
Numeric time: 0.945	0.946	0 ms
Symbolic time: 1.726	1.727	0 ms
Numeric time: 0.943	0.943	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.941	0.941	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.945	0.946	0 ms
